2026-07-09 23:02:52.082140: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:03:00.257009: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:04:30.058784: [DETAIL VIEW] Selected Instance ID: 36, Title: MBL 110, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:04:44.810983: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:11:07.303777: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:11:16.606647: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:17:26.111457: [DETAIL VIEW] Selected Instance ID: 37, Title: MBL 111, Current Node ID: 22 (Fin)
2026-07-09 23:18:20.436449: [DETAIL VIEW] Selected Instance ID: 38, Title: MBL 112, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 23:22:00.856231: [DETAIL VIEW] Selected Instance ID: 38, Title: MBL 112, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:22:13.087119: [DETAIL VIEW] Selected Instance ID: 38, Title: MBL 112, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:32:44.752530: [DETAIL VIEW] Selected Instance ID: 38, Title: MBL 112, Current Node ID: 21 (Tarea Paralela B)
2026-07-09 23:33:43.206461: [DETAIL VIEW] Selected Instance ID: 39, Title: MBL 113, Current Node ID: 17 (Solicitar Aprobación)
2026-07-09 23:47:49.796736: [DETAIL VIEW] Selected Instance ID: 40, Title: MARILIA 28, Current Node ID: 17 (Solicitar Aprobación)
2026-07-10 00:08:46.562131: [DETAIL VIEW] Selected Instance ID: 41, Title: MARILIA 29, Current Node ID: 17 (Solicitar Aprobación)
2026-07-10 00:48:01.500718: [DETAIL VIEW] Selected Instance ID: 42, Title: MARILIA 30, Current Node ID: 17 (Solicitar Aprobación)
2026-07-10 01:04:16.562662: [DETAIL VIEW] Selected Instance ID: 43, Title: MARILIA 31, Current Node ID: 17 (Solicitar Aprobación)
